legacy_scope,comment_id,true_label,v2_predicted_label,v2_covered,v2_final_eval_label,v2_confidence,v2_prob_negative,v2_prob_neutral,v2_prob_positive,brand_or_video_context,comment_text_original
LEGACY_DIAGNOSTIC_TEST_ALREADY_OPENED,3161983647287578588,Positive,Neutral,True,Neutral,0.5296359812275392,0.16792358296900425,0.5296359812275392,0.3024404358034566,The Originote,"review jujur originote niacinamide: enak dipakai, gampang nyerep, gak ada bau aneh"
LEGACY_DIAGNOSTIC_TEST_ALREADY_OPENED,7167339197756621594,Positive,Neutral,True,Neutral,0.6544746738336467,0.1141679539435045,0.6544746738336467,0.23135737222284894,The Originote,Kaka ny cantik:)
LEGACY_DIAGNOSTIC_TEST_ALREADY_OPENED,7234553248231867141,Positive,Neutral,False,Uncertain,0.39661273897040705,0.2742662646057189,0.39661273897040705,0.32912099642387405,The Originote,mantab nih
LEGACY_DIAGNOSTIC_TEST_ALREADY_OPENED,7261629830364496646,Positive,Neutral,True,Neutral,0.5536730027688244,0.22727564928419625,0.5536730027688244,0.2190513479469794,Azarine,votre peau d best
LEGACY_DIAGNOSTIC_TEST_ALREADY_OPENED,7358420239945696006,Positive,Negative,True,Negative,0.6860219451373458,0.6860219451373458,0.23349554337933334,0.08048251148332075,Daviena,ada yang mau gantiin retinol daviena aku ngga? masih baru
LEGACY_DIAGNOSTIC_TEST_ALREADY_OPENED,7358509278376608518,Positive,Neutral,True,Neutral,0.463291952823919,0.15871858959381419,0.463291952823919,0.3779894575822668,Daviena,@melvinahusyanti96 testii mantul nih kak
LEGACY_DIAGNOSTIC_TEST_ALREADY_OPENED,7385610350631060244,Positive,Positive,False,Uncertain,0.4179041562675576,0.17870635192212764,0.4033894918103148,0.4179041562675576,The Originote,thankyou sis
LEGACY_DIAGNOSTIC_TEST_ALREADY_OPENED,7410791063307469574,Positive,Neutral,False,Uncertain,0.41428314371387975,0.3981629298249747,0.41428314371387975,0.1875539264611456,Azarine,Aku preloved ada yg mau nggk? Baru 3x pakai
LEGACY_DIAGNOSTIC_TEST_ALREADY_OPENED,7421196980917060357,Positive,Neutral,True,Neutral,0.586528931627619,0.3416343530899615,0.586528931627619,0.07183671528241949,Daviena,"klo ga ada doktif,mgkin takkan terungkap"
LEGACY_DIAGNOSTIC_TEST_ALREADY_OPENED,7421494815831474950,Positive,Neutral,True,Neutral,0.5008756288733722,0.24371488363965682,0.5008756288733722,0.255409487486971,Daviena,mewah apa nya..kalian kalau mau bersih ilang flex..pakai cosmelan aja
