model_id,comment_id,true_label,probability_negative,probability_neutral,probability_positive,predicted_label,prediction_confidence,selected_threshold,is_covered,abstained_label,correct_if_covered,comment_text_original,video_id,brand_or_video_context,is_hcc,question,emoji,negation,slang,code_mixing,very_short,mixed_sentiment,sentiment_target,complaint_scope
ensemble_top2_human_supervised_development_only,3049104154677394011,Positive,0.4801119845223188,0.1754882992642307,0.3443997162134505,Negative,0.4801119845223188,0.42,True,Negative,False,"akhirnya nemu daviena retinol yang cocok, gak bikin breakout sama sekali",7376604456818920709,daviena_retinol,True,True,False,True,True,False,False,False,,
ensemble_top2_human_supervised_development_only,5823062342045730092,Positive,0.4780613109251407,0.2124748258951052,0.3094638631797539,Negative,0.4780613109251407,0.42,True,Negative,False,"kulit aku kombinasi tapi daviena retinol tetep nyaman, gak lengket",7378347819268082950,daviena_retinol,True,True,False,True,True,False,False,True,,
ensemble_top2_human_supervised_development_only,7135404540996600602,Positive,0.4410608297896917,0.1926065896053185,0.3663325806049897,Negative,0.4410608297896917,0.42,True,Negative,False,"""cuma 30rb kesel ga lo"" dan sambil kaya nyentil hahaha lucu bgt",7129446710400601371,originote_niacinamide,False,False,False,True,True,False,False,True,,
ensemble_top2_human_supervised_development_only,7143227982911046427,Negative,0.127331083668722,0.3756882092543254,0.4969807070769526,Positive,0.4969807070769526,0.42,True,Positive,False,"jujur udah pakai originote 1 botol niacinamide, 1 botol retinol, tp blm ngefek apa2, ga bikin kulit cerah/ngatasi jerawat",7129446710400601371,The Originote,False,True,False,True,True,False,False,False,Product / Brand,product_effect
ensemble_top2_human_supervised_development_only,7168754499258401538,Positive,0.1242610719050093,0.6636323346796635,0.2121065934153271,Neutral,0.6636323346796635,0.42,True,Neutral,False,"Pakai serum dari inby skincare aja ka untuk kulit sensitif, kering dan normal, sudah BPOM dan HALAL, aku juga pakai serum dari @inby skincare official",7129446710400601371,The Originote,False,False,False,True,True,True,False,False,Promotion / CTA,product_effect
ensemble_top2_human_supervised_development_only,7185353867247911706,Positive,0.2072893878205619,0.4658994450549764,0.3268111671244618,Neutral,0.4658994450549764,0.42,True,Neutral,False,sama.. aku juga gak purging 😅,7185096421220158747,Azarine,False,False,True,True,True,False,False,False,Product / Brand,product_effect
ensemble_top2_human_supervised_development_only,7186264225122517786,Neutral,0.319024242836646,0.2305370428651348,0.4504387142982191,Positive,0.4504387142982191,0.42,True,Positive,False,seminggu 2 kali aja kalo aku,7185096421220158747,azarine_retinol,False,False,False,False,True,False,False,False,,
ensemble_top2_human_supervised_development_only,7189422561767588635,Positive,0.4661665928262444,0.2577622834571931,0.2760711237165624,Negative,0.4661665928262444,0.42,True,Negative,False,ga ada kak aku makai kok enak bngt🥰 kalo ad yg ga cocok sama Niacidemide rekomen bngt buat dipake,7185096421220158747,Azarine,False,True,True,True,True,False,False,False,Product / Brand,product_effect
ensemble_top2_human_supervised_development_only,7195213275775943450,Neutral,0.4795319938219095,0.4053588215720494,0.1151091846060411,Negative,0.4795319938219095,0.42,True,Negative,False,gimana bagus ngga kak hasil nya? soal nya mau beli tapi masih takut:(,7185096421220158747,Azarine,False,True,False,True,True,False,False,True,Product / Brand,not_applicable
ensemble_top2_human_supervised_development_only,7197465037236716314,Positive,0.2052193078342892,0.5710936106195839,0.223687081546127,Neutral,0.5710936106195839,0.42,True,Neutral,False,cakep,7167562475641048347,maryame_niacinamide,False,False,False,False,False,False,True,False,,
ensemble_top2_human_supervised_development_only,7205794801386767130,Positive,0.3110262248216054,0.4422314039526783,0.2467423712257161,Neutral,0.4422314039526783,0.42,True,Neutral,False,buat kulit berminyak cocok bgt sama azarin jadi lebih mate ga gampang minyakan apalgi kl pg nya pake niacin jadi makin bgs ke muka😅,7185096421220158747,Azarine,False,True,True,True,True,False,False,False,Product / Brand,product_effect
ensemble_top2_human_supervised_development_only,7206607576397644571,Neutral,0.3437505453595526,0.1995005713482135,0.4567488832922338,Positive,0.4567488832922338,0.42,True,Positive,False,aku udh co 2 paket sekali guss😭,7194330759329631514,originote_niacinamide,False,False,True,False,True,False,False,False,,
ensemble_top2_human_supervised_development_only,7208468520174600986,Positive,0.2178662054473673,0.6197154017403821,0.1624183928122505,Neutral,0.6197154017403821,0.42,True,Neutral,False,"pantes gw pakek retinolnya azarine dh abis 2 btol mskipun lama cerahnya tp komedo minggat,next mw cba yg the originote,cp tw ada hasil mencerahkan😅",7185096421220158747,azarine_retinol,False,False,True,False,True,True,False,False,,
ensemble_top2_human_supervised_development_only,7209497283485598490,Positive,0.1216007405311789,0.5198633812043659,0.3585358782644551,Neutral,0.5198633812043659,0.42,True,Neutral,False,"kalo purging tergantung cocok²an ya klo di aku ga ada purging samsek, bisa juga klo emng lagi berjerawat. klo aku pakenya skintific yg biru.",7185096421220158747,Azarine,False,True,True,True,True,False,False,False,Product / Brand,product_effect
ensemble_top2_human_supervised_development_only,7212104883314459418,Positive,0.0823398962061872,0.8197755640160176,0.0978845397777952,Neutral,0.8197755640160176,0.42,True,Neutral,False,semoga berhasil ya kk🥰🥰,7208499827234131226,originote_niacinamide,False,False,True,True,True,False,False,False,,
ensemble_top2_human_supervised_development_only,7220914824317960986,Negative,0.2421651232182176,0.4790707447989638,0.2787641319828187,Neutral,0.4790707447989638,0.42,True,Neutral,False,"gw gacocok pake eiem :"" sekali pake pasti ada jerawat mendem 3 gede² 😭 #skincareroutine harian wajib coba dan juga #skincaretips penting banget",7185096421220158747,azarine_retinol,False,True,True,True,True,False,False,False,,
ensemble_top2_human_supervised_development_only,7223398588939535110,Negative,0.3009656994729294,0.5274519156589537,0.171582384868117,Neutral,0.5274519156589537,0.42,True,Neutral,False,dateng nya lama bngt bangga sama #skincarelokal #skincaretips wajib dicoba,7194330759329631514,originote_niacinamide,False,False,False,True,False,False,False,False,,
ensemble_top2_human_supervised_development_only,7225220136587150106,Neutral,0.4511435689800719,0.3426534325829881,0.20620299843694,Negative,0.4511435689800719,0.42,True,Negative,False,aku ga gatel cuma merah merah aja mangkanya coba originote siapa tau cocok,7222981366173011226,The Originote,False,True,False,True,True,False,False,True,Skin condition,skin_condition
ensemble_top2_human_supervised_development_only,7226744900560683782,Neutral,0.5895052409989946,0.2148173567337262,0.1956774022672792,Negative,0.5895052409989946,0.42,True,Negative,False,"tapi katanya perih,trus udah cocok sama madam gie juga siii",7208499827234131226,The Originote,False,True,False,True,False,False,False,True,General discussion,safety_concern
ensemble_top2_human_supervised_development_only,7250806324341310213,Negative,0.4163683568097441,0.5128662932527783,0.0707653499374776,Neutral,0.5128662932527783,0.42,True,Neutral,False,guys aku baru nyoba originote tapi muncul bruntusan apa gak cocok ya?,7194330759329631514,The Originote,False,True,False,True,True,False,False,True,Product / Brand,product_effect
ensemble_top2_human_supervised_development_only,7276778600861991686,Positive,0.1986970211073356,0.5267597460221031,0.2745432328705613,Neutral,0.5267597460221031,0.42,True,Neutral,False,sudah cobain dong 😁,7185096421220158747,azarine_retinol,False,False,True,False,True,False,False,False,,
ensemble_top2_human_supervised_development_only,7289440939101487878,Negative,0.2976630087473306,0.5887606017810877,0.1135763894715817,Neutral,0.5887606017810877,0.42,True,Neutral,False,"mau coba tapi takut, soalnya pake yg paket acne daviena makin banyak jerawat ku😭😭 bagus buat #retinolskincare #skincaretips wajib dicoba",7289028668863663365,daviena_retinol,True,False,True,True,True,False,False,True,,
ensemble_top2_human_supervised_development_only,7312078235625718534,Neutral,0.1345827226942306,0.108854011141291,0.7565632661644783,Positive,0.7565632661644783,0.42,True,Positive,False,aku juga pakai seglowing ini,7312025661835578629,daviena_retinol,False,False,False,True,True,False,False,False,,
