comment_id,comment_text_original,video_id,product_category,reference_label,predicted_label,selected_model_confidence,ambiguity_flags,neutral_error_taxonomy
7428485716349027090,ff dokkk,7428436533981613318,maryame_niacinamide,Neutral,Negative,0.5412185005460478,very_short,short acknowledgement
7201766217249571611,Pake yg peeling kak,7194330759329631514,originote_niacinamide,Neutral,Negative,0.6105307782803479,slang,slang
7223215135145198363,kakak pakai yg apa?,7194330759329631514,originote_niacinamide,Neutral,Negative,0.47899949593912844,question;slang,pertanyaan
7596250253708509968,kaloo beli awal bulan des aman ngga yaa izin?,7596239649517899016,davina_skincare,Neutral,Negative,0.4703046869831375,low_margin;question;slang,harga/link/beli
7377300086337323781,apa produk ini aman utk busui?,7313383346447322373,azarine_retinol,Neutral,Negative,0.5341650778245008,low_margin;question,pertanyaan
7358006128037233414,keranjang kuning nya kak,7357662447248968966,daviena_retinol,Neutral,Negative,0.48282469653645443,slang,slang
7200692561793991451,ini dipakainya barengan? atau selang seling pagi-malam?,7188119070884056347,originote_niacinamide,Neutral,Negative,0.4580613658795291,question;slang,pertanyaan
7429028316701229842,plisss jestam,7428436533981613318,maryame_niacinamide,Neutral,Negative,0.5850969035721523,very_short,short acknowledgement
7422680260849976069,aq dong pake citra🤭😂,7421104723333483782,davina_skincare,Neutral,Negative,0.5768899385714759,slang,slang
7428506612707345157,seruni skincare dok,7428436533981613318,maryame_niacinamide,Neutral,Negative,0.48881598390156533,descriptive,label ambiguity
7219842332353659674,emang kalau cekit² itu kenapa kak?,7185096421220158747,azarine_retinol,Neutral,Negative,0.5478997062342437,question;slang,pertanyaan
7388483085107643141,beli dimana itu k,7385065641595653382,maryame_niacinamide,Neutral,Negative,0.6592944396613617,question,harga/link/beli
7376474635820876550,Habis berapa beli semua tu kak,7357662447248968966,daviena_retinol,Neutral,Negative,0.5513808013074163,question;slang,harga/link/beli
7344695480751162117,ini yg dibilang dr ika retinol yg mngndung hidroquinon bukan siih? apa bukan?,7340938843190725893,daviena_retinol,Neutral,Negative,0.5192843763046217,question;slang,pertanyaan
7358110590571135749,dalba spray serum cara pake nya gimana?,7357662447248968966,daviena_retinol,Neutral,Negative,0.5441479388136707,question,pertanyaan
7428734455986258693,dokter kl ga di pake buat aku aja skin care nya...bismillah😂,7428436533981613318,maryame_niacinamide,Neutral,Negative,0.5266626577036281,slang,slang
7341548105680814854,Perbaiki dulu kak skin barriernya basic skincare dikuatin dulu. Apalagi itu retinolnya dosis tinggi,7340938843190725893,daviena_retinol,Neutral,Negative,0.682263410870269,slang,slang
7429571066819953413,dok LS skincare dong,7428436533981613318,maryame_niacinamide,Neutral,Negative,0.5469743584079911,slang,slang
7340957972052607749,Tapi ngurangin ke jerawat nya kan?,7340938843190725893,daviena_retinol,Neutral,Negative,0.7003230036568695,low_margin;question;slang,pertanyaan
7412493433497699078,toner nya apa kak,7242204399928593669,originote_niacinamide,Neutral,Negative,0.5885641433860724,slang,slang
7253778547864306438,"gaboleh kayanya soalnya ada niacinamide nya, mending pake serum hydrating aja deh kak abis exfo",7235406683676167430,originote_niacinamide,Neutral,Negative,0.45997687619155553,slang,slang
7428548606552916741,cream yg gue pakek ni,7428436533981613318,maryame_niacinamide,Neutral,Negative,0.46186364272693126,slang,slang
7378477471564235525,itu kan lagi proses kk🙄,7340938843190725893,daviena_retinol,Neutral,Negative,0.45140858211082524,slang,slang
7428765065594061588,skincare dr widy clinic..??,7428436533981613318,maryame_niacinamide,Neutral,Negative,0.7403803987866692,question,pertanyaan
